City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,hradec kralove,50.2092,15.8328,17.94,87,77,1.37,CZ,1717975700
290,kolonia,50.9333,6.95,12.19,77,0,1.54,DE,1717975795
291,tortoli,39.9256,9.6572,23.9,60,0,4.63,IT,1717976012
292,yangambi,0.8102,24.4336,22.05,89,94,1.17,CD,1717976013
293,tallahassee,30.4383,-84.2807,34.91,52,0,4.63,US,1717975832
294,zelenoborskiy,66.845,32.3622,6.3,89,79,3.93,RU,1717976014
295,sayat,38.7839,63.8803,24.93,18,13,1.28,TM,1717976016
296,changping,40.2186,116.2197,22.8,38,46,0.89,CN,1717976017
297,west livingston,30.6983,-95.0019,32.03,74,16,3.13,US,1717976017
298,kyshtovka,56.555,76.6271,11.3,81,71,2.24,RU,1717976018
299,hammerfest,70.6634,23.6821,12.25,66,100,4.12,NO,1717976019
300,kourou,5.1552,-52.6478,27.03,89,76,2.05,GF,1717975857
301,bac kan,22.1333,105.8333,24.58,99,100,0.18,VN,1717976020
302,coruripe,-10.1256,-36.1756,23.88,85,2,4.1,BR,1717976021
303,saguenay,48.4168,-71.0657,15.6,93,100,3.09,CA,1717975807
304,sakleshpur,12.9667,75.7833,19.33,96,99,3.53,IN,1717976022
305,alofi,-19.0595,-169.9187,24.94,65,75,8.23,NU,1717975918
306,presidente bernardes,-22.0061,-51.5531,26.21,43,90,2.58,BR,1717976024
307,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,4.44,RU,1717976025
308,madera,37.1666,-119.8343,34.2,26,45,4.26,US,1717976009
309,port lincoln,-34.7333,135.8667,15.59,66,100,3.22,AU,1717975815
310,bonthe,7.5264,-12.505,26.83,81,70,2.84,SL,1717976027
311,carutapera,-1.195,-46.02,23.95,96,84,2.59,BR,1717976028
312,peterhead,57.5058,-1.7981,9.22,82,57,9.73,GB,1717975916
313,okha,53.5739,142.9478,9.58,89,100,4.47,RU,1717975916
314,yeniseysk,58.4497,92.1703,10.53,91,100,2.24,RU,1717976030
315,mezokovacshaza,46.4,20.9167,23.4,77,15,3.71,HU,1717976031
316,tadine,-21.55,167.8833,25.78,70,100,1.34,NC,1717976031
317,callao,-12.0667,-77.15,19.29,72,100,4.63,PE,1717975937
318,puerto baquerizo moreno,-0.9,-89.6,22.8,86,79,3.71,EC,1717975808
319,isangel,-19.55,169.2667,28.06,69,40,2.57,VU,1717976034
320,kapa'a,22.0752,-159.319,30.99,71,0,6.69,US,1717975915
321,marsh harbour,26.5412,-77.0636,29.1,70,57,2.23,BS,1717975946
322,coquimbo,-29.9533,-71.3436,13.85,79,0,2.06,CL,1717975740
323,tokombere,11.2271,13.4858,29.09,47,82,2.8,NG,1717976040
324,conception bay south,47.4999,-52.9981,12.08,93,100,5.48,CA,1717975992
325,smithers,54.7804,-127.1743,21.18,46,75,4.63,CA,1717975888
326,al ghayzah,16.2079,52.176,29.04,85,15,4.21,YE,1717976046
327,aketi,2.7388,23.7833,22.1,99,100,0.47,CD,1717975931
328,galle,6.0367,80.217,28.85,81,93,0.45,LK,1717976050
329,aginskoye,51.1,114.53,15.77,67,37,2.21,RU,1717976051
330,ciudad acuna,29.3232,-100.9522,39.32,29,0,2.57,MX,1717976052
331,naze,28.3667,129.4833,24.51,79,100,1.45,JP,1717976053
332,tomatlan,19.9333,-105.25,28.15,57,0,4.51,MX,1717976054
333,luebo,-5.35,21.4167,20.17,46,70,0.71,CD,1717976055
334,malindi,-3.2175,40.1191,26.09,78,60,7.75,KE,1717976055
335,taveta,-3.3963,37.6736,17.94,78,43,2.63,KE,1717976057
336,abu jibeha,11.4562,31.2285,27.48,62,88,2.9,SD,1717976058
337,kodinar,20.7903,70.7031,28.83,78,61,5.94,IN,1717976059
338,taulaga,-11.0553,-171.0883,28.0,75,95,8.77,AS,1717976060
339,mossel bay,-34.1831,22.146,9.96,75,6,2.94,ZA,1717976060
340,nikolayevsk-on-amure,53.1406,140.73,10.12,97,100,1.79,RU,1717975927
341,happy valley-goose bay,53.3168,-60.3315,18.17,63,75,6.69,CA,1717975810
342,la rioja,42.25,-2.5,6.88,97,90,1.89,ES,1717976063
343,uporovo,56.3109,66.2693,14.98,97,100,3.41,RU,1717976063
344,fale old settlement,-9.3852,-171.2468,28.41,75,87,4.63,TK,1717975922
345,ecoporanga,-18.3733,-40.8306,17.92,86,35,0.74,BR,1717976065
346,chernyakhovsk,54.6335,21.8156,9.16,94,17,3.55,RU,1717976066
347,lata,40.1629,-8.3327,13.67,98,100,0.35,PT,1717976066
348,cabo san lucas,22.8909,-109.9124,26.17,67,0,5.66,MX,1717975925
